iter	MultiClass
0	1.927251947
1	1.64508405
2	1.443848637
3	1.298240434
4	1.18439901
5	1.095729549
6	1.019857142
7	0.9547729318
8	0.8999058229
9	0.8536987
10	0.8146506121
11	0.7795194221
12	0.7483561651
13	0.7206429031
14	0.6968385308
15	0.675649374
16	0.6554135868
17	0.6372873945
18	0.6207759021
19	0.6063123446
20	0.5931858417
21	0.5802447016
22	0.5685153033
23	0.5584156224
24	0.5493545406
25	0.5409321509
26	0.5325106104
27	0.5254106559
28	0.518875181
29	0.5131475616
30	0.5076703471
31	0.5021816117
32	0.4972153517
33	0.4927413202
34	0.4884918015
35	0.4842620989
36	0.4805625717
37	0.4769574399
38	0.473221848
39	0.4694146637
40	0.4666824349
41	0.463953281
42	0.4612519672
43	0.4589863124
44	0.4565970613
45	0.4536814791
46	0.4512905788
47	0.4487504711
48	0.445805172
49	0.4439356352
50	0.4423970389
51	0.4400317079
52	0.4382423763
53	0.4359702889
54	0.4344032008
55	0.4322766246
56	0.4303009064
57	0.4286397033
58	0.427221033
59	0.425325732
60	0.4238149855
61	0.4225180344
62	0.4212987402
63	0.4199258996
64	0.4186142214
65	0.417688472
66	0.4163088901
67	0.4143999748
68	0.4125986945
69	0.4111143555
70	0.409873836
71	0.4084879259
72	0.4073490859
73	0.406041761
74	0.4046594231
75	0.4035907375
76	0.4024591616
77	0.4015100712
78	0.4001330248
79	0.3991298383
80	0.3977515417
81	0.3965187138
82	0.3956054589
83	0.3947293839
84	0.3938741109
85	0.3929354145
86	0.3920791729
87	0.390905255
88	0.3897419062
89	0.3888620853
90	0.3878604254
91	0.3868468364
92	0.3862387217
93	0.3849785863
94	0.3836498737
95	0.3830849844
96	0.3820612421
97	0.3813353974
98	0.3801036486
99	0.3791656335
