iter	Passed	Remaining
0	180	17860
1	211	10346
2	242	7833
3	273	6572
4	306	5814
5	338	5298
6	383	5094
7	417	4798
8	450	4552
9	483	4354
10	516	4180
11	550	4039
12	586	3924
13	621	3820
14	654	3711
15	687	3610
16	720	3515
17	753	3430
18	785	3346
19	816	3265
20	847	3187
21	876	3107
22	905	3031
23	936	2964
24	966	2899
25	997	2838
26	1027	2778
27	1059	2723
28	1090	2668
29	1120	2613
30	1150	2560
31	1180	2508
32	1209	2455
33	1239	2405
34	1269	2357
35	1299	2310
36	1330	2265
37	1360	2219
38	1391	2177
39	1421	2132
40	1452	2090
41	1483	2048
42	1512	2005
43	1541	1961
44	1570	1919
45	1600	1879
46	1631	1839
47	1660	1799
48	1690	1759
49	1720	1720
50	1749	1681
51	1779	1642
52	1807	1602
53	1836	1564
54	1865	1526
55	1894	1488
56	1923	1451
57	1953	1414
58	1982	1377
59	2011	1341
60	2040	1304
61	2068	1268
62	2097	1232
63	2127	1196
64	2155	1160
65	2184	1125
66	2213	1090
67	2242	1055
68	2270	1020
69	2298	984
70	2326	950
71	2356	916
72	2385	882
73	2415	848
74	2444	814
75	2474	781
76	2503	747
77	2531	713
78	2560	680
79	2590	647
80	2618	614
81	2646	580
82	2673	547
83	2700	514
84	2728	481
85	2755	448
86	2785	416
87	2813	383
88	2843	351
89	2873	319
90	2901	286
91	2929	254
92	2957	222
93	2986	190
94	3014	158
95	3041	126
96	3070	94
97	3099	63
98	3128	31
99	3158	0
